yyyymm,flow,vol,date,flow_resid,bin_vol,recession
201306,0.009939289,0.143700033,6/1/13,0.014432704,7,0
201309,0.007914335,0.093854858,9/1/13,0.012165969,3,0
201312,0.01592435,0.107355857,12/1/13,0.012560419,5,0
201403,0.009031261,0.126850952,3/1/14,0.012042137,7,0
201406,0.003935509,0.104106825,6/1/14,0.008509203,4,0
201409,0.007454063,0.097391876,9/1/14,0.011785975,4,0
201412,0.007719737,0.145121895,12/1/14,0.004436084,8,0
201503,0.005394946,0.140524767,3/1/15,0.0084861,7,0
201506,0.003601362,0.100961647,6/1/15,0.008255334,4,0
201509,0.004399947,0.206175385,9/1/15,0.008812137,9,0
201512,0.011614339,0.149503637,12/1/15,0.008410964,8,0
201603,0.005747762,0.191982434,3/1/16,0.008919194,9,0
201606,0.004661094,0.14368881,6/1/16,0.009395344,7,0
201609,0.006277004,0.102021064,9/1/16,0.010769473,4,0
201612,0.013869901,0.091455775,12/1/16,0.010746805,3,0
201703,0.004375843,0.075229532,3/1/17,0.007627553,2,0
201706,0.002251413,0.080396975,6/1/17,0.007065941,2,0
201709,0.004195223,0.074548513,9/1/17,0.00876797,2,0
201712,0.005536209,0.059930487,12/1/17,0.002493391,1,0
201803,0.002654217,0.196755506,3/1/18,0.005986206,9,0
201806,0.010618741,0.125260741,6/1/18,0.015513548,7,0
201809,0.013278616,0.074707979,9/1/18,0.017931641,2,0
201812,0.005176396,0.244251905,12/1/18,0.002213856,10,0
201903,0.017835546,0.141820255,3/1/19,0.021247813,7,0
201906,0.006919986,0.123490119,6/1/19,0.011895071,6,0
201909,0.004104931,0.154271125,9/1/19,0.008838234,8,0
201912,0.008916197,0.096691604,12/1/19,0.006033935,4,0
202003,0.012143885,0.565893946,3/1/20,0.01563643,10,1
202006,0.011778983,0.322864548,6/1/20,0.016834346,10,1
202009,0.003353723,0.174824963,9/1/20,0.008167304,9,0
202012,0.00920508,0.161316885,12/1/20,0.006403096,8,0
202103,0.008230225,0.175149345,3/1/21,0.011803047,9,0
202106,0.001878594,0.116848476,6/1/21,0.007014234,6,0
202109,0.004356837,0.115783062,9/1/21,0.009250696,6,0
202112,0.010498462,0.148797007,12/1/21,0.007776756,8,0
202203,0.003708317,0.233544903,3/1/22,0.007361417,10,0
202206,0.005572853,0.298001756,6/1/22,0.010788771,10,0
202209,0.005604304,0.222160208,9/1/22,0.010578441,9,0
